Cumulative Stat Rank,Price ,Cumulative,Visual Rarity URL,Kong ID,Shooting,Finish,Defense,Vision,Background,Fur,Clothes,Mouth,Head,Head Accessory,Eyes,Jewellery,Owner Address,Number of Sales,Last Sale Date,Last Sale Price,Last List Date,Current Price
8006, ,171,https://rarity.tools/rumble-kong-league/view/50,50,46,35,35,55,Pink,Brown,Navy Suit,Kiss,RKL Cap Sideways,,Sad,,0x465dca9995d6c2a81a9be80fbced5a770dee3dae,0, , , , 
7737, ,174,https://rarity.tools/rumble-kong-league/view/51,51,52,28,66,28,Purple,Black,Hawaii Shirt,Shows Teeth,RKL Cap Forward,,Bloodshot,,0x465dca9995d6c2a81a9be80fbced5a770dee3dae,0, , , , 
4865, ,198,https://rarity.tools/rumble-kong-league/view/52,52,68,34,50,46,Light Grey,Pink,White Tee,Saber Toothed,Blue Pigtails,,Wide Scar,,0x465dca9995d6c2a81a9be80fbced5a770dee3dae,0, , , , 
5362, ,194,https://rarity.tools/rumble-kong-league/view/53,53,41,56,53,44,Yellow,Pink,Biker Jacket,Kiss,Chopsticks Bun,,Wide Scar,,0x465dca9995d6c2a81a9be80fbced5a770dee3dae,0, , , , 
4360, ,202,https://rarity.tools/rumble-kong-league/view/54,54,40,47,54,61,Gold,Brown,Fusion Gi,Regular,Russian Cap,,Bloodshot,,0x465dca9995d6c2a81a9be80fbced5a770dee3dae,0, , , , 
9995, ,92,https://rarity.tools/rumble-kong-league/view/55,55,20,13,38,21,Yellow,Hyper Cat,Mamba Jersey,Diamond Teeth,Gold Horns,,Regular,,0x465dca9995d6c2a81a9be80fbced5a770dee3dae,0, , , , 
4736, ,199,https://rarity.tools/rumble-kong-league/view/56,56,37,78,52,32,Light Grey,Red,Shirt And Tie,Scream,RKL Cap Forward,,Angry Wink,,0x465dca9995d6c2a81a9be80fbced5a770dee3dae,0, , , , 
9206, ,153,https://rarity.tools/rumble-kong-league/view/57,57,47,24,39,43,Dark Blue,White Noise,,Regular,,,Regular,,0x465dca9995d6c2a81a9be80fbced5a770dee3dae,0, , , , 
7824, ,173,https://rarity.tools/rumble-kong-league/view/58,58,33,62,43,35,Cyan,Brown,,Regular,,,Bloodshot,,0x465dca9995d6c2a81a9be80fbced5a770dee3dae,0, , , , 
6276, ,187,https://rarity.tools/rumble-kong-league/view/59,59,54,30,58,45,Yellow,Green,Shirt And Tie,Regular,,Red Shades,Closed,,0x465dca9995d6c2a81a9be80fbced5a770dee3dae,0, , , , 
6276, ,187,https://rarity.tools/rumble-kong-league/view/60,60,30,44,35,78,Grey,Red,,Scream,Bowler,,Angry Wink,,0x465dca9995d6c2a81a9be80fbced5a770dee3dae,0, , , , 
6385, ,186,https://rarity.tools/rumble-kong-league/view/61,61,44,48,54,40,Pink,Sky Blue,Striped Tee,Drool,,,Closed,,0x465dca9995d6c2a81a9be80fbced5a770dee3dae,0, , , , 
9338, ,150,https://rarity.tools/rumble-kong-league/view/62,62,38,37,27,48,Light Blue,Black,Shirt And Tie,Shows Teeth,RKL Cap Forward,,Closed,,0x465dca9995d6c2a81a9be80fbced5a770dee3dae,0, , , , 
6276, ,187,https://rarity.tools/rumble-kong-league/view/63,63,62,44,45,36,Grey,Crystal,Mamba Jersey,Regular,Banana,,Heterochromia,,0x465dca9995d6c2a81a9be80fbced5a770dee3dae,0, , , , 
271, ,259,https://rarity.tools/rumble-kong-league/view/64,64,43,83,72,61,Red,Black,Dego Tee Blooded,Kiss,,,Regular,,0x465dca9995d6c2a81a9be80fbced5a770dee3dae,0, , , , 
3191, ,212,https://rarity.tools/rumble-kong-league/view/65,65,61,56,67,28,Brown,Brown,Dego Tee Blooded,Scream,,,Regular,,0x7dcb39fe010a205f16ee3249f04b24d74c4f44f1,0, , , , 
2262, ,221,https://rarity.tools/rumble-kong-league/view/66,66,66,49,78,28,Pink,Green,Dego Tee Blooded,Regular,Purple Bandana,,Regular,,0xba8bfac35be2d436e4dc90ad146b1599ed9fa065,1,9/5/2021,1.69 ETH, , 
137, ,267,https://rarity.tools/rumble-kong-league/view/67,67,96,60,77,34,Cyan,Black,Striped Tee,Shows Teeth,,Vibe Glasses,Bloodshot,,0x1c96fe3bd7ae5d1145f9ace3063c2ccb12a56b9e,3,9/22/2021,20.0 ETH, , 
4113, ,204,https://rarity.tools/rumble-kong-league/view/68,68,38,61,61,44,Cyan,Brown,Tracksuit,Regular,Red Bandana,,Regular,,0x60282772ab3e7f9e71b6eabd698ce4de82a18776,0, , , , 
6955, ,181,https://rarity.tools/rumble-kong-league/view/69,69,69,29,33,50,Brown,White Noise,Shirt And Tie,Regular,Purple Bandana,Monocle,Wide Scar,,0x60282772ab3e7f9e71b6eabd698ce4de82a18776,0, , , , 
2777, ,216,https://rarity.tools/rumble-kong-league/view/70,70,62,44,47,63,Light Blue,Brown,Navy Suit,Shows Teeth,,,Angry,,0x60282772ab3e7f9e71b6eabd698ce4de82a18776,0, , , , 
7524, ,176,https://rarity.tools/rumble-kong-league/view/71,71,46,33,49,48,Light Grey,Pink,Biker Jacket,Kiss,Blonde Bun,,Wide,,0xe239c599eb07b5d4c2a6b4180269b995bf7ab3e1,0, , , , 
6854, ,182,https://rarity.tools/rumble-kong-league/view/72,72,37,64,43,38,Pink,Sky Blue,Striped Tee,Shows Teeth,Horse Jockey Hat,,Closed Scar,,0xe239c599eb07b5d4c2a6b4180269b995bf7ab3e1,0, , , , 
1509, ,229,https://rarity.tools/rumble-kong-league/view/73,73,62,51,45,71,Purple,White Noise,,Scream,Red Bandana,Red Shades,Regular,,0x8560dc1432aa9fd80f0160329982b9d81a12a52f,0, , , , 
3191, ,212,https://rarity.tools/rumble-kong-league/view/74,74,69,58,54,31,Light Grey,Sky Blue,Cyan Jersey,Shows Teeth,Purple Bandana,Broken Glasses,Sad,,0x1e56019c18e7fe821896181a031ac75fd45c56f8,0, , , , 
2461, ,219,https://rarity.tools/rumble-kong-league/view/75,75,58,53,53,55,Gold,Black,Shaolin Vest,Missing Teeth,RKL Cap Sideways,,Bloodshot,,0xef9803951cd41355a90326f0284203d84a67471a,0, , , , 
9856, ,129,https://rarity.tools/rumble-kong-league/view/76,76,34,23,30,42,Light Grey,Grey,Biker Jacket,Kiss,,,Sad,,0x1d4571c482f54d171b2ba0c0466789970d70d831,0, , , , 
979, ,238,https://rarity.tools/rumble-kong-league/view/77,77,73,68,67,30,Purple,Red,,Ooh,,,Wide,,0x1fd8acbe43b3a052b4e59bc7ffaee241c7bf894f,0, , , , 
4486, ,201,https://rarity.tools/rumble-kong-league/view/78,78,76,35,44,46,Light Blue,Pink,Cyan Jersey,Kiss,,,Angry Scar,,0xbe769b04627613c8f3b30abe20e6458c1dcb239b,0, , , , 
6955, ,181,https://rarity.tools/rumble-kong-league/view/79,79,54,33,57,37,Dark Blue,Red,Shirt And Tie,Drool,,Red Shades,Closed Scar,,0x588e73b6d555d5aeb5adcd6a114efd5262644070,1,8/12/2021,0.35 ETH, , 
5362, ,194,https://rarity.tools/rumble-kong-league/view/80,80,67,16,61,50,Purple,White Noise,RKL Tee,Regular,Cap Forward,Blue Shades,Regular,,0xbe769b04627613c8f3b30abe20e6458c1dcb239b,0, , , , 
1606, ,228,https://rarity.tools/rumble-kong-league/view/81,81,51,59,62,56,Red,Pink,Tracksuit,Full Beard,Chopsticks Bun,,Closed Scar,,0xbe769b04627613c8f3b30abe20e6458c1dcb239b,0, , , , 
3306, ,211,https://rarity.tools/rumble-kong-league/view/82,82,34,76,54,47,Gold,Green,Hawaii Shirt,Drool,Purple Bandana,Gem Earring,Closed,,0xbe769b04627613c8f3b30abe20e6458c1dcb239b,0, , , , 
1606, ,228,https://rarity.tools/rumble-kong-league/view/83,83,54,65,45,64,Yellow,Pink,Cyan Jersey,Regular,Winter Hat,Blue Shades,Regular,,0xbe769b04627613c8f3b30abe20e6458c1dcb239b,0, , , , 
1509, ,229,https://rarity.tools/rumble-kong-league/view/84,84,68,55,39,67,Dark Blue,Red,Fusion Gi,Shows Teeth,Tophat,Blue Shades,Angry,,0xbe769b04627613c8f3b30abe20e6458c1dcb239b,0, , , , 
490, ,250,https://rarity.tools/rumble-kong-league/view/85,85,43,56,66,85,Grey,Brown,Hawaii Shirt,Scream,,,Closed,,0xbe769b04627613c8f3b30abe20e6458c1dcb239b,0, , , , 
4736, ,199,https://rarity.tools/rumble-kong-league/view/86,86,65,22,31,81,Light Grey,White Noise,Dego Tee Blooded,Shows Teeth,,,Regular,,0xbe769b04627613c8f3b30abe20e6458c1dcb239b,0, , , , 
8405,2.5,166,https://rarity.tools/rumble-kong-league/view/87,87,24,38,66,38,Dark Blue,Grey,Trippy Tee,Ooh,Green Beret,Red Shades,Regular,,0xfb84e645bac911111f8cdf4546860b5048dbaf45,1,8/11/2021,0.38 ETH,9/11/2021 8:56,2.5 ETH
7062,8.88,180,https://rarity.tools/rumble-kong-league/view/88,88,63,67,41,9,Grey,Sky Blue,Biker Jacket,Gold Smirk,Bowler,Blue Shades,Angry,,0xbe769b04627613c8f3b30abe20e6458c1dcb239b,1,9/10/2021,2.0 ETH,9/12/2021 15:40,8.88 ETH
9842, ,130,https://rarity.tools/rumble-kong-league/view/89,89,28,38,42,22,Grey,Pink,Dress,Regular,Beanie,,Closed Scar,,0xfb38ff567c5208178de3929a0d845420b784f746,1,8/22/2021,0.29 ETH, , 
305, ,257,https://rarity.tools/rumble-kong-league/view/90,90,77,47,63,70,Grey,Pink,Tracksuit,Scream,Beanie,,Regular,,0xbe769b04627613c8f3b30abe20e6458c1dcb239b,0, , , , 
305, ,257,https://rarity.tools/rumble-kong-league/view/91,91,94,83,39,41,Pink,White Noise,Striped Tee,Regular,,,Regular,,0xbe769b04627613c8f3b30abe20e6458c1dcb239b,0, , , , 
1943, ,224,https://rarity.tools/rumble-kong-league/view/92,92,55,63,34,72,Pink,Brown,White Tee,Shows Teeth,,,Regular,,0xbe769b04627613c8f3b30abe20e6458c1dcb239b,0, , , , 
3889, ,206,https://rarity.tools/rumble-kong-league/view/93,93,35,48,73,50,Red,Grey,Dego Tee Blooded,Regular,Winter Hat,Monocle,Closed,,0xbe769b04627613c8f3b30abe20e6458c1dcb239b,0, , , , 
2874, ,215,https://rarity.tools/rumble-kong-league/view/94,94,56,58,50,51,Yellow,Black,Trippy Tee,Regular,Ski Glasses,,Bloodshot,,0xbe769b04627613c8f3b30abe20e6458c1dcb239b,0, , , , 
3191, ,212,https://rarity.tools/rumble-kong-league/view/95,95,35,62,60,55,Light Grey,Brown,Biker Jacket,Ooh,Beanie,Vibe Glasses,Closed Scar,,0xbe769b04627613c8f3b30abe20e6458c1dcb239b,0, , , , 
8477, ,165,https://rarity.tools/rumble-kong-league/view/96,96,31,49,42,43,Pink,Brown,White Tee,Scream,,,Closed Scar,,0x3053376df52a4fbc4c66fa28379252b86a47c638,1,8/25/2021,0.698 ETH, , 
7176, ,179,https://rarity.tools/rumble-kong-league/view/97,97,34,50,36,59,Purple,Grey,Red Kimono,Ooh,Ski Glasses,,Angry,,0x59c9cd56f9ad1aceced385349ca6707588350304,2,9/6/2021,2.22 ETH, , 
1031,3.49,237,https://rarity.tools/rumble-kong-league/view/98,98,50,67,72,48,Light Grey,Pink,White Tee,Saber Toothed,,Gem Earring,Angry Scar,,0xd57a8376787064a5da5bb91cc1efc06127efd40c,2,9/1/2021,1.7 ETH,9/15/2021 10:36,3.49 ETH
2989,3,214,https://rarity.tools/rumble-kong-league/view/99,99,68,52,44,50,Yellow,Red,Cyan Jersey,Ooh,,3D Glasses,Closed,,0x11fb54380e040dc4fdfb99e25c562c0567981a44,1,8/17/2021,0.1798 ETH,9/1/2021 2:21,3.0 ETH
1852, ,225,https://rarity.tools/rumble-kong-league/view/100,100,71,59,42,53,Light Grey,Brown,Cheetah Dego Tee,Shows Teeth,,,Angry Wink,,0xb413a48088cfb0074f75349c790062920434e321,2,8/6/2021,0.94 ETH, , 
1436,7.5,230,https://rarity.tools/rumble-kong-league/view/101,101,51,55,53,71,Light Grey,Grey,,Regular,,Gem Earring,Angry Scar,,0x707a7096d339975de22d1fef8ff827790c3a1cd1,1,7/29/2021,0.09 ETH,9/5/2021 14:41,7.5 ETH
7407, ,177,https://rarity.tools/rumble-kong-league/view/102,102,61,51,19,46,Red,Sky Blue,Trippy Tee,Saber Toothed,Ski Glasses,,Wide Scar,,0xa6c2b86522eb1b1db787f365936b914768820d8e,2,9/1/2021,1.2 ETH, , 
173, ,264,https://rarity.tools/rumble-kong-league/view/103,103,59,67,72,66,Purple,Red,Trippy Tee,Ooh,,,Closed Scar,,0x3486d3a7d6dbd322b762dbf06b6b979c75c00375,1,7/29/2021,0.14 ETH, , 
3306, ,211,https://rarity.tools/rumble-kong-league/view/104,104,54,60,38,59,Brown,Green,Navy Suit,Shows Teeth,,,Angry Wink,,0x927365425d35c1a91f973f88ae3ea05503870193,1,8/12/2021,0.4 ETH, , 
1691, ,227,https://rarity.tools/rumble-kong-league/view/105,105,53,54,57,63,Purple,Black,Dress,Gold Smirk,Red Bandana,Red Shades,Angry,,0x91468ad86eaa593ea024beef58ebcb88ba5ad799,1,8/21/2021,0.45 ETH, , 
137, ,267,https://rarity.tools/rumble-kong-league/view/106,106,80,42,66,79,Red,Pink,Trippy Tee,Kiss,RKL Cap Forward,,Angry,,0x53562e8ecee54356dc89ad263a444528b34d6c80,2,8/10/2021,1.45 ETH, , 
9425,1.59,148,https://rarity.tools/rumble-kong-league/view/107,107,37,28,46,37,Pink,Red,,Ooh,Winter Hat,,Sad,,0x768c545669e6821e059473ffca7912d291078cfe,1,8/31/2021,0.86 ETH,9/17/2021 18:41,1.59 ETH
7407, ,177,https://rarity.tools/rumble-kong-league/view/108,108,30,38,43,66,Purple,Pink,Hawaii Shirt,Regular,RKL Cap Forward,,Angry Scar,,0x0b0fccb443ee906573dfdbbf8eb5b55c741a39e6,0, , , , 
5231, ,195,https://rarity.tools/rumble-kong-league/view/109,109,42,61,40,52,Light Blue,White Noise,Shirt And Tie,Ooh,Winter Hat,,Regular,,0x8d3bc45d7b30013c37c141f6ce7c981b2613efaa,1,7/29/2021,0.06 ETH, , 
6505,2.85,185,https://rarity.tools/rumble-kong-league/view/110,110,47,41,44,53,Dark Blue,Sky Blue,Navy Suit,Tongue Out,Tophat,,Wide Scar,,0x3c9ae738df7a5ea2ef041bf9112f7b01c000824c,2,8/10/2021,0.7 ETH,9/5/2021 15:10,2.85 ETH
2989, ,214,https://rarity.tools/rumble-kong-league/view/111,111,43,87,35,49,Brown,Pink,Green Kimono,Gold Saber Toothed,,,Regular,,0xbe8fe12b9eb1ca2a593e6c070c71c294b6fe9f00,2,8/3/2021,0.28 ETH, , 
116, ,269,https://rarity.tools/rumble-kong-league/view/112,112,46,79,67,77,Yellow,Red,Biker Jacket,Regular,,Blue Shades,Bloodshot,,0x12eaf457f5535913ddefdd3c3b595882c47b98a7,0, , , , 
8760, ,161,https://rarity.tools/rumble-kong-league/view/113,113,54,30,43,34,Dark Blue,Pink,Cheetah Dego Tee,Ooh,Blonde Bun,,Regular,,0x715ee52bf47b8e32a05c961d2f9eb89fd4797c2e,2,8/23/2021,0.31 ETH, , 
8006, ,171,https://rarity.tools/rumble-kong-league/view/114,114,44,35,37,55,Purple,Green,Navy Suit,Shows Teeth,King Band,,Wide,,0x9423b33a5642a7e0cd8272b8f5d0a01e1768b3bc,1,9/1/2021,0.8489 ETH, , 
4986, ,197,https://rarity.tools/rumble-kong-league/view/115,115,54,24,49,70,Purple,Red,Trippy Tee,Drool,King Band,,Angry Scar,,0x12eaf457f5535913ddefdd3c3b595882c47b98a7,0, , , , 
9150, ,154,https://rarity.tools/rumble-kong-league/view/116,116,55,47,37,15,Grey,Black,White Tee,Saber Toothed,Horse Jockey Hat,,Regular,,0x9b0dc391e3842c6632f9d91bed77403802d39cc4,3,9/3/2021,0.8 ETH, , 
